host,location,filename,category
SreePC,E:/Sree/netalytics/DataSecurity/data/fusionalgo/BBPS/validate/,sensitive-BBPS_RECON_FILE27052019.xlsx,
SreePC,E:/Sree/netalytics/DataSecurity/data/code/python/validate/,api.py,BANK
SreePC,E:/Sree/netalytics/DataSecurity/data/code/python/validate/,meet.py,BANK
SreePC,E:/Sree/netalytics/DataSecurity/data/code/python/validate/,plot_face_recognition.py,PYTHON
SreePC,E:/Sree/netalytics/DataSecurity/data/code/python/validate/,plot_sparse_cov.py,PYTHON
SreePC,E:/Sree/netalytics/DataSecurity/data/code/python/validate/,plot_outlier_detection_housing.py,PYTHON
SreePC,E:/Sree/netalytics/DataSecurity/data/code/python/validate/,semanal_infer.py,BANK
SreePC,E:/Sree/netalytics/DataSecurity/data/code/python/validate/,treetransform.py,PYTHON
SreePC,E:/Sree/netalytics/DataSecurity/data/code/java/validate/,updateProduct.java,JAVA
SreePC,E:/Sree/netalytics/DataSecurity/data/code/java/validate/,UpdateSubscription.java,JAVA
SreePC,E:/Sree/netalytics/DataSecurity/data/code/java/validate/,UpdateSplitTenderGroup.java,JAVA
elasticsearch4sree,/home/april1/,pwd1.txt,PWD
elasticsearch4sree,/home/april1/,download_tags.py,
elasticsearch4sree,/home/april1/,treetransform.py,PYTHON
SreePC,E:/Sree/netalytics/DataSecurity/data/fusionalgo/BBPS/validate/,BBPS_BILLER.xlsx,BANK
SreePC,E:/Sree/netalytics/DataSecurity/data/fusionalgo/BBPS/validate/,00001CO012019052800.xml,BANK
SreePC,E:/Sree/netalytics/DataSecurity/data/fusionalgo/PVR_APRIL/validate/,BankStatement_7.csv,BANK
SreePC,E:/Sree/netalytics/DataSecurity/data/fusionalgo/PVR_APRIL/validate/,Inventory_Cinema_PaymentDetails_4036830_05042018.xlsx,BANK
SreePC,E:/Sree/netalytics/DataSecurity/data/fusionalgo/PVR_APRIL/validate/,Ticket_Cinema_PaymentDetails_8698171_19042018.xlsx,PVR
SreePC,E:/Sree/netalytics/DataSecurity/data/code/python/validate/,conf.py,PVR
SreePC,E:/Sree/netalytics/DataSecurity/data/code/python/validate/,download_tags.py,
SreePC,E:/Sree/netalytics/DataSecurity/data/code/python/validate/,infer.py,BANK
SreePC,E:/Sree/netalytics/DataSecurity/data/code/python/validate/,exprtotype.py,BANK
SreePC,E:/Sree/netalytics/DataSecurity/data/code/python/validate/,moduleinfo.py,BANK
SreePC,E:/Sree/netalytics/DataSecurity/data/code/python/validate/,semanal_shared.py,BANK
SreePC,E:/Sree/netalytics/DataSecurity/data/code/python/validate/,suggestions.py,BANK
elasticsearch4sree,/home/april1/,api.py,
elasticsearch4sree,/home/april1/,dummy.txt,
elasticsearch4sree,/home/april1/,update_blogs.py,PYTHON
elasticsearch4sree,/home/april1/,pwd.txt,PWD
SreePC,E:/Sree/netalytics/DataSecurity/data/fusionalgo/PVR_APRIL/validate/,BankStatement_0.csv,BANK
SreePC,E:/Sree/netalytics/DataSecurity/data/fusionalgo/PVR_APRIL/validate/,Inventory_Cinema_PaymentDetails_2945731_24042018.xlsx,PVR
SreePC,E:/Sree/netalytics/DataSecurity/data/fusionalgo/BBPS/validate/,sensitive-RRPT_27052019.csv,
SreePC,E:/Sree/netalytics/DataSecurity/data/fusionalgo/PVR_APRIL/validate/,Inventory_Cinema_PaymentDetails_6230790_24042018.xlsx,BANK
SreePC,E:/Sree/netalytics/DataSecurity/data/fusionalgo/PVR_APRIL/validate/,InvPaymentDetails__2018-04-10 00_00_00_2018-04-12 00_00_00KKBK181025522540.xlsx,
SreePC,E:/Sree/netalytics/DataSecurity/data/code/python/validate/,manage.py,PYTHON
SreePC,E:/Sree/netalytics/DataSecurity/data/code/python/validate/,plot_tomography_l1_reconstruction.py,PYTHON
SreePC,E:/Sree/netalytics/DataSecurity/data/code/python/validate/,update_blogs.py,PYTHON
SreePC,E:/Sree/netalytics/DataSecurity/data/code/java/validate/,UpdateCustomerPaymentProfile.java,JAVA
SreePC,E:/Sree/netalytics/DataSecurity/data/code/java/validate/,VoidTransaction.java,JAVA
elasticsearch4sree,/home/april1/,updateProduct.java,
elasticsearch4sree,/home/april1/,conf.py,PYTHON
elasticsearch4sree,/home/april1/,suggestions.py,PYTHON
SreePC,E:/Sree/netalytics/DataSecurity/data/fusionalgo/PVR_APRIL/validate/,Inventory_Cinema_PaymentDetails_5310450_16042018.xlsx,BANK
SreePC,E:/Sree/netalytics/DataSecurity/data/fusionalgo/PVR_APRIL/validate/,InvPaymentDetails__2018-04-05 00_00_00_2018-04-07 00_00_00KKBK180964746300.xlsx,PVR
SreePC,E:/Sree/netalytics/DataSecurity/data/code/python/validate/,plot_compare_reduction.py,
SreePC,E:/Sree/netalytics/DataSecurity/data/code/python/validate/,plot_mahalanobis_distances.py,PYTHON
SreePC,E:/Sree/netalytics/DataSecurity/data/code/python/validate/,typevars.py,
SreePC,E:/Sree/netalytics/DataSecurity/data/code/java/validate/,UpdateCustomerProfile.java,JAVA
SreePC,E:/Sree/netalytics/DataSecurity/data/code/java/validate/,ValidateCustomerPaymentProfile.java,JAVA
elasticsearch4sree,/home/april1/,guessthenumber.py,
elasticsearch4sree,/home/april1/,UpdateCustomerPaymentProfile.java,JAVA
elasticsearch4sree,/home/april1/,VoidTransaction.java,JAVA
elasticsearch4sree,/home/april1/,weightinplanets.py,
elasticsearch4sree,/home/april1/,modulefinder.py,PYTHON
SreePC,E:/Sree/netalytics/DataSecurity/data/fusionalgo/BBPS/validate/,MOB_BBPS_27052019.txt,
SreePC,E:/Sree/netalytics/DataSecurity/data/fusionalgo/BBPS/validate/,sensitive-GST_27052019.csv,BANK
SreePC,E:/Sree/netalytics/DataSecurity/data/fusionalgo/PVR_APRIL/validate/,BankStatement_6.csv,PVR
SreePC,E:/Sree/netalytics/DataSecurity/data/pwd/validate/,pwd.txt,BANK
SreePC,E:/Sree/netalytics/DataSecurity/data/pwd/validate/,pwd1.txt,BANK
SreePC,E:/Sree/netalytics/DataSecurity/data/code/python/validate/,conftest.py,PYTHON
SreePC,E:/Sree/netalytics/DataSecurity/data/code/python/validate/,dmypy_server.py,BANK
SreePC,E:/Sree/netalytics/DataSecurity/data/code/python/validate/,message_registry.py,
SreePC,E:/Sree/netalytics/DataSecurity/data/code/python/validate/,models.py,PYTHON
SreePC,E:/Sree/netalytics/DataSecurity/data/code/python/validate/,modulefinder.py,PYTHON
SreePC,E:/Sree/netalytics/DataSecurity/data/code/python/validate/,utils.py,PYTHON
SreePC,E:/Sree/netalytics/DataSecurity/data/code/java/validate/,UpdateCustomerShippingAddress.java,JAVA
SreePC,E:/Sree/netalytics/DataSecurity/data/code/java/validate/,Void.java,JAVA
SreePC,E:/Sree/netalytics/DataSecurity/data/code/java/validate/,VoidTransaction - Copy.java,JAVA
elasticsearch4sree,/home/april1/,exprtotype.py,PYTHON
elasticsearch4sree,/home/april1/,UpdateCustomerShippingAddress.java,JAVA
